date,season,tm_home,tm_away,pts_home,pts_away,prob_home
2005-11-13,2005,ORL,CLE,100,108,0.32150863255594453
2005-11-13,2005,PHI,LAC,113,108,0.5293662562052738
2005-11-13,2005,SAC,NYK,95,105,0.7505221629148294
2005-11-13,2005,TOR,OKC,121,126,0.45685279187817257
2005-11-14,2005,GSW,CHI,100,82,0.6554939057667819
2005-11-14,2005,MEM,LAL,85,73,0.6349897540983607
2005-11-14,2005,UTA,NYK,62,73,0.5990800596718051
2005-11-15,2005,BRK,OKC,109,99,0.7505221629148294
2005-11-15,2005,CLE,WAS,114,99,0.7305317733738104
2005-11-15,2005,DAL,DEN,83,80,0.7305317733738104
2005-11-15,2005,DET,BOS,115,100,0.789141393542914
2005-11-15,2005,LAC,MIL,109,85,0.6730461707697165
2005-11-15,2005,MIA,NOP,109,102,0.8230347431471681
2005-11-15,2005,MIN,HOU,89,94,0.5293662562052738
2005-11-15,2005,ORL,CHO,85,77,0.6349897540983607
2005-11-15,2005,PHI,TOR,104,92,0.8079445696411153
2005-11-15,2005,SAC,UTA,119,83,0.8490646342280425
2005-11-15,2005,SAS,ATL,103,79,0.9295774647887324
2005-11-16,2005,BOS,OKC,100,113,0.6932487904343705
2005-11-16,2005,CHO,IND,122,90,0.1908624597399499
2005-11-16,2005,GSW,MIL,87,90,0.6932487904343705
2005-11-16,2005,LAL,NYK,97,92,0.6932487904343705
2005-11-16,2005,NOP,DEN,81,91,0.4179498460184778
2005-11-16,2005,PHO,MEM,103,115,0.6554939057667819
2005-11-16,2005,POR,CHI,96,93,0.4179498460184778
2005-11-16,2005,TOR,PHI,115,121,0.3795145550087581
2005-11-17,2005,DAL,ATL,87,78,0.9208907674872173
2005-11-17,2005,MIN,WAS,109,98,0.6185623601278026
2005-11-17,2005,SAS,HOU,86,80,0.7505221629148294
2005-11-18,2005,BOS,TOR,100,93,0.8079445696411153
2005-11-18,2005,CLE,ORL,102,84,0.8670618880804816
2005-11-18,2005,DEN,NYK,95,86,0.774868986910441
2005-11-18,2005,HOU,DET,70,78,0.397796817625459
2005-11-18,2005,IND,CHO,93,85,0.9257464436454588
2005-11-18,2005,LAL,LAC,91,97,0.45685279187817257
2005-11-18,2005,MIA,PHI,106,96,0.5990800596718051
2005-11-18,2005,NOP,ATL,95,92,0.6554939057667819
2005-11-18,2005,OKC,CHI,98,84,0.5990800596718051
