season,tm,g,w,l,t,hfa,hfa_inv,pf,pa,pd,wp,dist,fg_off,fga_off,fgpct_off,2p_off,2pa_off,2ppct_off,3p_off,3pa_off,3ppct_off,ft_off,fta_off,ftpct_off,ortg_off,ftr_off,3par_off,tspct_off,efgpct_off,ftpfga_off,orbpct_off,trbpct_off,astpct_off,stlpct_off,blkpct_off,tovpct_off,fg_def,fga_def,fgpct_def,2p_def,2pa_def,2ppct_def,3p_def,3pa_def,3ppct_def,ft_def,fta_def,ftpct_def,ortg_def,ftr_def,3par_def,tspct_def,efgpct_def,ftpfga_def,orbpct_def,trbpct_def,astpct_def,stlpct_def,blkpct_def,tovpct_def,mp_off,mp_def
2004,DEN,82,49,33,0,41,41,99.52439024390245,97.5,2.0243902439024453,0.5975609756097561,45927.34077166213,37.048780487804876,80.67073170731707,0.45973170731707325,33.146341463414636,69.20731707317073,0.47982926829268296,3.902439024390244,11.463414634146341,0.3369024390243902,21.524390243902438,28.20731707317073,0.7595000000000001,106.60121951219513,0.35596341463414644,0.141,0.5349390243902441,0.4837317073170733,0.2720365853658536,28.140243902439018,50.15243902439025,64.11341463414631,9.774390243902438,9.230487804878047,13.419512195121952,35.97560975609756,80.5609756097561,0.4469390243902439,30.329268292682926,64.1951219512195,0.47324390243902437,5.646341463414634,16.365853658536587,0.34792682926829266,19.902439024390244,26.695121951219512,0.7529390243902441,104.6829268292683,0.33419512195121953,0.20262195121951218,0.5286097560975612,0.4820243902439025,0.24930487804878043,28.26951219512195,49.84878048780487,60.65853658536585,8.28048780487805,8.073170731707314,14.508536585365862,240.91463414634146,240.91463414634146
2004,MIL,82,30,52,0,41,41,97.23170731707317,100.21951219512195,-2.9878048780487774,0.36585365853658536,40477.18506443067,36.146341463414636,80.2439024390244,0.4515365853658535,32.18292682926829,68.96341463414635,0.4682682926829267,3.9634146341463414,11.28048780487805,0.34847560975609754,20.975609756097562,27.182926829268293,0.7684146341463411,107.00121951219512,0.3430853658536586,0.14079268292682928,0.5280731707317073,0.47636585365853645,0.2648658536585367,28.66707317073171,50.21341463414632,57.923170731707316,7.070731707317073,5.402439024390246,12.620731707317077,37.78048780487805,81.4390243902439,0.46587804878048794,32.13414634146341,64.98780487804878,0.4971219512195121,5.646341463414634,16.451219512195124,0.33343902439024387,19.01219512195122,24.658536585365855,0.7803536585365852,110.42073170731705,0.30882926829268276,0.20156097560975603,0.5441585365853662,0.5003536585365852,0.2382439024390244,27.849999999999998,49.79268292682929,63.000000000000014,8.191463414634146,6.501219512195121,12.100000000000003,241.21951219512195,241.21951219512195
2004,BOS,82,45,37,0,41,41,101.26829268292683,100.40243902439025,0.8658536585365795,0.5487804878048781,46619.605694662096,37.146341463414636,79.40243902439025,0.46963414634146355,31.817073170731707,64.13414634146342,0.49798780487804856,5.329268292682927,15.268292682926829,0.3473658536585366,21.646341463414632,28.329268292682926,0.7600121951219513,108.31219512195125,0.3619878048780487,0.19307317073170727,0.5529634146341464,0.5035975609756098,0.2762439024390244,26.935365853658535,49.10365853658538,59.57560975609757,8.67926829268293,8.04878048780488,14.317073170731707,36.09756097560975,81.26829268292683,0.4454756097560976,30.146341463414632,64.5609756097561,0.46821951219512187,5.951219512195122,16.70731707317073,0.35721951219512194,22.25609756097561,29.548780487804876,0.7553414634146337,107.39878048780487,0.36824390243902455,0.2065487804878049,0.5338658536585369,0.4822682926829269,0.2771951219512195,29.570731707317076,50.89756097560975,62.809756097560985,9.28536585365854,7.567073170731706,13.520731707317074,242.4390243902439,242.4390243902439
2004,NJN,82,42,40,0,41,41,91.41463414634147,92.91463414634147,-1.5,0.5121951219512195,39706.33679747432,33.573170731707314,78.28048780487805,0.43015853658536574,28.26829268292683,63.609756097560975,0.44674390243902423,5.304878048780488,14.670731707317072,0.35986585365853657,18.963414634146343,24.865853658536587,0.7707804878048782,102.29146341463417,0.324560975609756,0.18599999999999994,0.5133414634146343,0.46381707317073156,0.2470609756097561,25.379268292682926,48.97682926829267,63.63902439024391,8.852439024390245,6.2756097560975626,13.053658536585367,33.048780487804876,75.20731707317073,0.44175609756097556,27.134146341463413,59.1219512195122,0.4612439024390245,5.914634146341464,16.085365853658537,0.36169512195121933,20.902439024390244,28.097560975609756,0.7460365853658536,104.01951219512196,0.3796951219512193,0.21343902439024393,0.5322560975609757,0.4810121951219512,0.28282926829268296,26.534146341463412,51.02439024390246,61.61829268292683,8.190243902439025,7.630487804878049,14.741463414634143,242.7439024390244,242.7439024390244
2004,CHA,82,18,64,0,41,41,94.2560975609756,100.2439024390244,-5.987804878048792,0.21951219512195122,43463.13997733158,36.109756097560975,83.64634146341463,0.4333170731707319,32.207317073170735,72.90243902439025,0.44352439024390244,3.902439024390244,10.74390243902439,0.3665853658536586,18.134146341463413,25.5609756097561,0.7039878048780486,101.91219512195119,0.3120000000000001,0.12835365853658542,0.4977804878048782,0.45662195121951227,0.22189024390243897,29.31219512195123,49.098780487804866,60.576829268292684,9.154878048780489,8.407317073170733,12.749999999999996,36.76829268292683,79.35365853658537,0.4639146341463417,31.378048780487806,64.42682926829268,0.4884024390243902,5.390243902439025,14.926829268292684,0.34447560975609764,21.317073170731707,27.79268292682927,0.7644756097560975,108.4060975609756,0.35320731707317077,0.18756097560975613,0.5479878048780489,0.4978048780487803,0.27098780487804885,28.98536585365853,50.90487804878051,58.345121951219504,8.221951219512196,7.470731707317075,14.234146341463413,242.4390243902439,242.4390243902439
2004,DET,82,54,28,0,41,41,93.32926829268293,89.46341463414635,3.8658536585365795,0.6585365853658537,35837.582508923566,34.76829268292683,78.3048780487805,0.4451585365853659,30.341463414634145,65.46341463414635,0.46546341463414626,4.426829268292683,12.841463414634147,0.34617073170731705,19.365853658536587,26.21951219512195,0.7389512195121952,106.48902439024388,0.3377439024390244,0.1637804878048781,0.5206341463414632,0.4733048780487806,0.2501219512195122,30.832926829268313,52.26707317073173,62.42439024390245,8.012195121951217,9.391463414634146,12.670731707317072,34.03658536585366,79.21951219512195,0.4309390243902438,29.036585365853657,64.42682926829268,0.4518292682926829,5,14.792682926829269,0.33667073170731715,16.390243902439025,21.829268292682926,0.7485731707317073,102.07439024390244,0.27918292682926826,0.18647560975609764,0.5047073170731707,0.462658536585366,0.2097560975609756,26.787804878048778,47.734146341463415,57.82073170731711,8.476829268292683,6.776829268292685,12.893902439024387,243.35365853658536,243.35365853658536
2004,GSW,82,34,48,0,41,41,98.70731707317073,100.86585365853658,-2.1585365853658516,0.4146341463414634,44375.07585764247,36.9390243902439,85.84146341463415,0.4309024390243902,29.329268292682926,64.20731707317073,0.45946341463414636,7.609756097560975,21.634146341463413,0.342109756097561,17.21951219512195,23.841463414634145,0.7196707317073172,105.24512195121952,0.281560975609756,0.2519146341463415,0.5130731707317073,0.4752195121951217,0.20374390243902443,27.557317073170722,47.67317073170732,59.82560975609757,8.307317073170731,7.519512195121951,12.015853658536585,38.207317073170735,83.39024390243902,0.45956097560975606,32.71951219512195,68.28048780487805,0.48004878048780486,5.487804878048781,15.109756097560975,0.36509756097560964,18.963414634146343,25.451219512195124,0.748890243902439,107.7012195121951,0.3097073170731707,0.18085365853658542,0.5345365853658534,0.4922926829268291,0.23028048780487817,29.74390243902439,52.32682926829268,59.37560975609755,7.434146341463415,7.83170731707317,13.357317073170732,242.7439024390244,242.7439024390244
2004,UTA,82,26,56,0,41,41,92.98780487804878,97.2560975609756,-4.268292682926827,0.3170731707317073,48933.90128242091,34.48780487804878,76.84146341463415,0.44982926829268294,31.4390243902439,67.54878048780488,0.4670609756097562,3.048780487804878,9.292682926829269,0.33398780487804874,20.963414634146343,27.70731707317073,0.7598292682926829,105.57195121951217,0.36690243902439024,0.1220121951219512,0.5232560975609757,0.46987804878048783,0.27776829268292674,31.840243902439013,51.560975609756085,64.66707317073175,7.5,7.987804878048782,14.386585365853662,33.30487804878049,72.7439024390244,0.45918292682926837,27.378048780487806,56.926829268292686,0.4837926829268294,5.926829268292683,15.817073170731707,0.3738536585365854,24.71951219512195,32.353658536585364,0.7682804878048781,110.28658536585364,0.44991463414634136,0.21793902439024393,0.5600121951219514,0.5002439024390245,0.3441341463414634,27.562195121951213,48.44268292682928,57.98658536585368,8.941463414634146,8.490243902439028,13.834146341463423,241.21951219512195,241.21951219512195
2004,HOU,82,51,31,0,41,41,95.07317073170732,91.03658536585365,4.036585365853668,0.6219512195121951,48013.308384693766,34.707317073170735,78.28048780487805,0.44379268292682916,27.963414634146343,59.73170731707317,0.4696585365853659,6.7439024390243905,18.548780487804876,0.3654634146341463,18.914634146341463,24.21951219512195,0.7857317073170732,107.03170731707317,0.314329268292683,0.23643902439024392,0.5350487804878048,0.48662195121951207,0.24541463414634154,26.10609756097561,51.143902439024416,60.76219512195121,7.7268292682926845,7.478048780487803,12.856097560975611,33.170731707317074,78.32926829268293,0.4247560975609756,27.634146341463413,61.951219512195124,0.4482926829268292,5.536585365853658,16.378048780487806,0.32980487804878056,19.158536585365855,25.804878048780488,0.738890243902439,102.57073170731707,0.3333780487804877,0.20739024390243907,0.5080975609756097,0.4597926829268293,0.24712195121951222,25.163414634146324,48.85731707317071,62.209756097560984,8.296341463414638,6.89390243902439,12.28658536585366,242.1341463414634,242.1341463414634
2004,SEA,82,52,30,0,41,41,98.9390243902439,96.64634146341463,2.292682926829272,0.6341463414634146,56069.09241925532,35.146341463414636,79.2439024390244,0.44513414634146337,27.024390243902438,57,0.4753170731707317,8.121951219512194,22.24390243902439,0.3661951219512194,20.524390243902438,25.98780487804878,0.7862439024390243,113.09390243902442,0.3338536585365853,0.28041463414634155,0.5468170731707318,0.4965731707317073,0.2637439024390244,32.40365853658537,51.89268292682928,51.663414634146356,7.679268292682926,6.652439024390243,12.2390243902439,35.75609756097561,77.82926829268293,0.46025609756097563,30.024390243902438,61.76829268292683,0.4866585365853662,5.7317073170731705,16.0609756097561,0.3542926829268292,19.402439024390244,25.902439024390244,0.7466463414634144,110.41463414634151,0.3355853658536584,0.2058658536585366,0.5423780487804878,0.49730487804878043,0.251280487804878,28.473170731707313,48.10853658536586,57.50975609756099,7.063414634146342,8.35365853658537,12.587804878048775,240.91463414634146,240.91463414634146
